186,186
222,36
810,588
936,126
1317,381
1618,301
1670,52
1683,13
1898,215
2291,393
2678,387
2916,238
3076,160
3155,79
3570,415
3743,173
3749,6
4415,666
5010,595
5154,144
5338,184
5419,81
6108,689
6121,13
6286,165
6311,25
6450,139
6481,31
6611,130
6856,245
6985,129
7422,437
7480,58
7719,239
8233,514
8382,149
8452,70
8719,267
9111,392
10071,960
10319,248
10387,68
10781,394
10928,147
11021,93
11122,101
11315,193
12089,774
12128,39
12273,145
12451,178
12489,38
12495,6
12548,53
12634,86
13079,445
13145,66
13170,25
13246,76
13289,43
13309,20
13528,219
13608,80
14439,831
14928,489
